Column1,Player,2020/21
1,Stephen Curry,43006362
2,Chris Paul,41358814
2,Russell Westbrook,41358814
4,James Harden,41254920
4,John Wall,41254920
6,Kevin Durant,40108950
7,LeBron James,39219566
8,Paul George,35450412
9,Klay Thompson,35361360
10,Mike Conley,34502132
11,Kemba Walker,34379100
11,Kawhi Leonard,34379100
11,Jimmy Butler,34379100
14,Tobias Harris,34358850
15,Blake Griffin,33900241
16,Kyrie Irving,33722850
17,Khris Middleton,33051724
18,Anthony Davis,32742000
19,Damian Lillard,31626953
20,Kevin Love,31258256
21,Ben Simmons,30559200
21,Pascal Siakam,30559200
23,Kyle Lowry,30500000
24,Steven Adams,29592695
25,Nikola Jokic,29542010
25,Andrew Wiggins,29542010
25,Joel Embiid,29542010
28,Kristaps Porzingis,29467800
28,Karl-Anthony Towns,29467800
28,Devin Booker,29467800
31,CJ McCollum,29354152
32,Andre Drummond,28751774
32,Bradley Beal,28751774
34,D'Angelo Russell,28649250
35,Gordon Hayward,28500000
36,Otto Porter,28489239
37,DeMar DeRozan,27739975
38,Giannis Antetokounmpo,27528088
39,Rudy Gobert,27525281
40,Al Horford,27500000
41,Jamal Murray,27285000
41,Brandon Ingram,27285000
43,Jrue Holiday,27026011
44,Nikola Vucevic,26000000
45,Jaylen Brown,25035118
46,Buddy Hield,24931817
47,Draymond Green,22246956
48,Harrison Barnes,22215909
49,Fred VanVleet,21250000
50,Victor Oladipo,21000000
51,Malcolm Brogdon,20700000
52,Julius Randle,19845000
53,Domantas Sabonis,19800000
54,Gary Harris,19610714
55,Danilo Gallinari,19500000
55,Zach LaVine,19500000
57,Jerami Grant,19050000
58,Tim Hardaway Jr,18975000
59,Terry Rozier,18900000
60,Aaron Gordon,18136364
61,Clint Capela,18000000
61,Bogdan Bogdanovic,18000000
61,Myles Turner,18000000
61,Goran Dragic,18000000
65,Bojan Bogdanovic,17850000
66,LaMarcus Aldridge,17628340
67,Gorgui Dieng,17587688
68,Evan Fournier,17150000
69,Ricky Rubio,17000000
70,Eric Bledsoe,16875000
71,Eric Gordon,16869267
72,Caris LeVert,16203704
